ticker,entity,entry_date,entry_price,entry_weight,units,status,exit_date
ADBE,ADOBE INC.,2026-07-20,234.740005,0.07724,0.03290449,active,
MO,"ALTRIA GROUP, INC.",2026-07-20,74.660004,0.07038,0.09426734,active,
NTAP,"NetApp, Inc.",2026-07-20,161.160004,0.06641,0.04120749,active,
DECK,DECKERS OUTDOOR CORP,2026-07-20,104.040001,0.06637,0.06379277,active,
ZTS,Zoetis Inc.,2026-07-20,76.199997,0.06032,0.07916011,active,
FISV,FISERV INC,2026-07-20,51.68,0.05779,0.11182275,active,
CL,COLGATE-PALMOLIVE COMPANY,2026-07-20,91.93,0.05446,0.05924073,active,
ADSK,"AUTODESK, INC.",2026-07-20,217.800003,0.05399,0.0247888,active,
FDS,FACTSET RESEARCH SYSTEMS INC.,2026-07-20,255.789993,0.05338,0.02086868,active,
FOX,FOX CORPORATION,2026-07-20,51.549999,0.05216,0.10118332,active,
CLX,CLOROX CO /DE/,2026-07-20,96.290001,0.04684,0.04864472,active,
GDDY,GoDaddy Inc.,2026-07-20,94.839996,0.04627,0.04878743,active,
TTD,"TRADE DESK, INC.",2026-07-20,18.639999,0.04624,0.24806868,active,
JKHY,"JACK HENRY & ASSOCIATES, INC.",2026-07-20,153.160004,0.04441,0.02899582,active,
CHD,"CHURCH & DWIGHT CO., INC.",2026-07-20,97.790001,0.04345,0.04443195,active,
RL,RALPH LAUREN CORPORATION,2026-07-20,376.480011,0.04214,0.01119316,active,
DG,DOLLAR GENERAL CORP,2026-07-20,124.75,0.04185,0.03354709,active,
KO,COCA COLA CO,2026-07-20,82.120003,0.03942,0.04800292,active,
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2026-07-20,150.020004,0.03689,0.02459005,active,
