date,level,n_constituents
2026-07-20,100.0000,19
2026-07-21,98.5348,19
2026-07-22,97.3805,19
2026-07-23,95.7275,19
2026-07-24,97.7907,19
2026-07-27,100.4809,19
2026-07-28,103.9719,19
2026-07-29,105.2348,19
2026-07-30,101.7402,19
2026-07-31,100.8543,19
2026-08-03,102.0612,19
2026-08-04,103.9495,19
2026-08-05,103.6249,19
2026-08-06,104.1012,19
2026-08-07,103.2761,19
2026-08-10,104.0282,19
2026-08-11,102.9488,19
2026-08-12,102.0913,19
2026-08-13,104.9976,19
2026-08-14,104.2216,19
2026-08-17,101.7569,19
2026-08-18,102.9849,19
2026-08-19,104.3418,19
2026-08-20,103.7963,19
2026-08-21,104.7842,19
2026-08-24,105.7828,19
2026-08-25,104.9218,19
2026-08-26,104.9394,19
2026-08-27,105.144,19
2026-08-28,105.374,19
2026-08-31,104.8194,19
2026-09-01,103.7127,19
2026-09-02,103.4065,19
2026-09-03,104.3597,19
2026-09-04,102.2943,19
2026-09-08,99.8395,19
2026-09-09,98.166,19
2026-09-10,97.9746,19
2026-09-11,99.2874,19
2026-09-14,101.5333,19
2026-09-15,99.8988,19
2026-09-16,99.0438,19
2026-09-17,99.1263,19
2026-09-18,98.2071,19
2026-09-21,98.5636,19
2026-09-22,97.5894,19
2026-09-23,96.9675,19
2026-09-24,96.7762,19
2026-09-25,97.0097,19
