rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07724,0.5895,0.10558450147876122,0.419749917895681,0.8926753334174765,13.421384,17
2,MO,"ALTRIA GROUP, INC.",0.07038,0.5371,0.07278176782297974,0.43569810163933725,0.6246831908587138,15.586639,17
3,NTAP,"NetApp, Inc.",0.06641,0.5068,0.05919342212218109,0.6783643754827753,0.7074368231046931,25.419558,16
4,DECK,DECKERS OUTDOOR CORP,0.06637,0.5065,0.07594426381290048,1.1374172086376884,0.5770385958654284,14.820513,14
5,ZTS,Zoetis Inc.,0.06032,0.4603,0.07146617785168359,0.2773885073350858,0.7183901975282561,12.491803,12
6,FISV,FISERV INC,0.05779,0.441,0.15599505494848484,0.13249855741681527,,8.759322,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.05446,0.4156,0.04940090360006789,0.36210025149732544,0.6010695711902659,35.631783,17
8,ADSK,"AUTODESK, INC.",0.05399,0.412,0.05238387456055057,0.38218179118182255,0.9097973910630031,31.749271,8
9,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05338,0.4074,0.06787214966650502,0.23436130050077733,0.5271743531167035,16.85046,15
10,FOX,FOX CORPORATION,0.05216,0.3981,0.13827113430002205,0.1496371370554628,,13.565789,7
11,CLX,CLOROX CO /DE/,0.04684,0.3575,0.0653582594250341,0.20844931787597773,0.45228040540540543,15.656911,16
12,GDDY,GoDaddy Inc.,0.04627,0.3531,0.1254603805893736,0.1964472600706213,,15.03011,9
13,TTD,"TRADE DESK, INC.",0.04624,0.3529,0.09080524737184867,0.14072204763134943,0.7862547319254604,21.181818,10
14,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04441,0.3389,0.05404691559202295,0.2256595022446134,0.4271233635668601,21.391062,15
15,CHD,"CHURCH & DWIGHT CO., INC.",0.04345,0.3316,0.04717161164136694,0.12775264062120373,0.447317513541398,32.167763,16
16,RL,RALPH LAUREN CORPORATION,0.04214,0.3216,0.045472978761199614,0.3430018558269413,0.6986505638055333,24.932451,15
17,DG,DOLLAR GENERAL CORP,0.04185,0.3194,0.08697296486194103,0.29909193848793325,0.30660930299520633,17.644978,15
18,KO,COCA COLA CO,0.03942,0.3008,0.014989250025063837,0.31932082280032736,0.6162574831563797,25.8239,17
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03689,0.2815,0.06498163042675122,0.13496947076597046,0.31017113991668,16.04492,15
