ticker,entity,kind,weight_in_satellite,fcf_usd_b,roic,margin,pe,fcf_positive_years
ADBE,ADOBE INC.,规则,0.1282,9.9,0.419749917895681,0.8926753334174765,13.457176,17
MO,"ALTRIA GROUP, INC.",规则,0.1181,9.1,0.43569810163933725,0.6246831908587138,15.2381935,17
V,VISA INC.,例外,0.08,21.6,0.3790302495253277,0.59985,,17
MA,Mastercard Inc,例外,0.08,17.2,0.79312891440628,0.5762861760849013,,14
INTU,INTUIT INC.,规则,0.0797,6.1,0.15150886135399302,,17.990728,16
KO,COCA COLA CO,规则,0.0689,5.3,0.31932082280032736,0.6162574831563797,26.740984,17
FISV,FISERV INC,规则,0.056,4.3,0.13249855741681527,,8.759516,17
CL,COLGATE-PALMOLIVE COMPANY,规则,0.0473,3.6,0.36210025149732544,0.6010695711902659,36.462746,17
RMS.PA,Hermès International,例外,0.0418,4.4,0.252,0.711,39.1,手工
FOX,FOX CORPORATION,规则,0.039,3.0,0.1496371370554628,,13.445313,7
ADSK,"AUTODESK, INC.",规则,0.0314,2.4,0.38218179118182255,0.9097973910630031,31.644928,8
DG,DOLLAR GENERAL CORP,规则,0.0312,2.4,0.29909193848793325,0.30660930299520633,17.989986,15
ZTS,Zoetis Inc.,规则,0.0297,2.3,0.2773885073350858,0.7183901975282561,12.550819,12
NTAP,"NetApp, Inc.",规则,0.0243,1.9,0.6783643754827753,0.7074368231046931,25.13497,16
GDDY,GoDaddy Inc.,规则,0.0205,1.6,0.1964472600706213,,15.242326,9
GRMN,GARMIN LTD,规则,0.0177,1.4,0.2102513417473349,0.5874393538958355,28.00898,15
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",规则,0.0147,1.1,0.13496947076597046,0.31017113991668,16.36572,15
DECK,DECKERS OUTDOOR CORP,规则,0.0143,1.1,1.1374172086376884,0.5770385958654284,15.523323,14
CHD,"CHURCH & DWIGHT CO., INC.",规则,0.0142,1.1,0.12775264062120373,0.447317513541398,32.581394,16
DLTR,"DOLLAR TREE, INC.",规则,0.0138,1.1,0.12613927326838592,0.36351871806637553,20.612112,16
RL,RALPH LAUREN CORPORATION,规则,0.0133,1.0,0.3430018558269413,0.6986505638055333,25.706081,15
TTD,"TRADE DESK, INC.",规则,0.0104,0.8,0.14072204763134943,0.7862547319254604,21.61628,10
CLX,CLOROX CO /DE/,规则,0.0099,0.8,0.20844931787597773,0.45228040540540543,16.053333,16
FDS,FACTSET RESEARCH SYSTEMS INC.,规则,0.008,0.6,0.23436130050077733,0.5271743531167035,17.298258,15
JKHY,"JACK HENRY & ASSOCIATES, INC.",规则,0.0077,0.6,0.2256595022446134,0.4271233635668601,21.452616,15
